lganame,statename,num_health_facilities,longitude,population,lgaarea,popdensity,Facilities_per_10k_people,water_per_lga,NEAR_DIST_Health,NEAR_DIST_Water,Case,Year
Jalingo,Taraba,81,11.35772705,308168.5003,263.6205139,1168.98523,2.6284323,1,3367.7269822667586,2641.1390273575275,0.0,2021.0
Burutu,Delta,33,5.725280762,185938.4279,1794.265381,103.6292801,1.7747811,234,6838.055765982554,963.4702644947491,0.0,2025.0
Burutu,Delta,33,5.725280762,185938.4279,1794.265381,103.6292801,1.7747811,234,6838.055765982554,963.4702644947491,0.0,2024.0
Burutu,Delta,33,5.725280762,185938.4279,1794.265381,103.6292801,1.7747811,234,6838.055765982554,963.4702644947491,0.0,2023.0
Burutu,Delta,33,5.725280762,185938.4279,1794.265381,103.6292801,1.7747811,234,6838.055765982554,963.4702644947491,0.0,2022.0
Burutu,Delta,33,5.725280762,185938.4279,1794.265381,103.6292801,1.7747811,234,6838.055765982554,963.4702644947491,0.0,2021.0
Girei,Adamawa,44,12.48687744,250603.9252,1041.328491,240.6578979,1.7557586,14,5205.914144611203,4760.068267045625,0.0,2025.0
Girei,Adamawa,44,12.48687744,250603.9252,1041.328491,240.6578979,1.7557586,14,5205.914144611203,4760.068267045625,0.0,2024.0
Girei,Adamawa,44,12.48687744,250603.9252,1041.328491,240.6578979,1.7557586,14,5205.914144611203,4760.068267045625,0.0,2023.0
Girei,Adamawa,44,12.48687744,250603.9252,1041.328491,240.6578979,1.7557586,14,5205.914144611203,4760.068267045625,7.0,2022.0
Girei,Adamawa,44,12.48687744,250603.9252,1041.328491,240.6578979,1.7557586,14,5205.914144611203,4760.068267045625,0.0,2022.0
Yorro,Taraba,68,11.40148926,157366.9089,1177.115356,133.6885986,4.3211117,11,2623.7725812807766,5056.282014878683,0.0,2025.0
Yorro,Taraba,68,11.40148926,157366.9089,1177.115356,133.6885986,4.3211117,11,2623.7725812807766,5056.282014878683,0.0,2024.0
Yorro,Taraba,68,11.40148926,157366.9089,1177.115356,133.6885986,4.3211117,11,2623.7725812807766,5056.282014878683,0.0,2023.0
Yorro,Taraba,68,11.40148926,157366.9089,1177.115356,133.6885986,4.3211117,11,2623.7725812807766,5056.282014878683,0.0,2022.0
Yorro,Taraba,68,11.40148926,157366.9089,1177.115356,133.6885986,4.3211117,11,2623.7725812807766,5056.282014878683,0.0,2021.0
Ardo-Kola,Taraba,73,11.27368164,197653.3887,2060.039795,95.9463959,3.6933341,3,4131.5943749794205,2737.8204852947542,0.0,2025.0
Ardo-Kola,Taraba,73,11.27368164,197653.3887,2060.039795,95.9463959,3.6933341,3,4131.5943749794205,2737.8204852947542,0.0,2024.0
Ardo-Kola,Taraba,73,11.27368164,197653.3887,2060.039795,95.9463959,3.6933341,3,4131.5943749794205,2737.8204852947542,0.0,2023.0
Ardo-Kola,Taraba,73,11.27368164,197653.3887,2060.039795,95.9463959,3.6933341,3,4131.5943749794205,2737.8204852947542,0.0,2022.0
Ardo-Kola,Taraba,73,11.27368164,197653.3887,2060.039795,95.9463959,3.6933341,3,4131.5943749794205,2737.8204852947542,0.0,2021.0
Yola North,Adamawa,76,12.45322833,323369.6308,75.0703125,4307.556641,2.3502517,6,656.4440626483795,935.1089997673377,0.0,2025.0
Yola North,Adamawa,76,12.45322833,323369.6308,75.0703125,4307.556641,2.3502517,6,656.4440626483795,935.1089997673377,486.0,2024.0
Yola North,Adamawa,76,12.45322833,323369.6308,75.0703125,4307.556641,2.3502517,6,656.4440626483795,935.1089997673377,0.0,2024.0
Yola North,Adamawa,76,12.45322833,323369.6308,75.0703125,4307.556641,2.3502517,6,656.4440626483795,935.1089997673377,24.0,2022.0
Yola North,Adamawa,76,12.45322833,323369.6308,75.0703125,4307.556641,2.3502517,6,656.4440626483795,935.1089997673377,0.0,2022.0
Yola South,Adamawa,79,12.43811035,570232.5274,910.1501465,626.5257568,1.3853997,46,2515.717412548184,1324.6536621182995,0.0,2025.0
Yola South,Adamawa,79,12.43811035,570232.5274,910.1501465,626.5257568,1.3853997,46,2515.717412548184,1324.6536621182995,0.0,2024.0
Yola South,Adamawa,79,12.43811035,570232.5274,910.1501465,626.5257568,1.3853997,46,2515.717412548184,1324.6536621182995,0.0,2023.0
Yola South,Adamawa,79,12.43811035,570232.5274,910.1501465,626.5257568,1.3853997,46,2515.717412548184,1324.6536621182995,0.0,2022.0
Yola South,Adamawa,79,12.43811035,570232.5274,910.1501465,626.5257568,1.3853997,46,2515.717412548184,1324.6536621182995,0.0,2021.0
Mbo,Akwa Ibom,25,8.26327,71203.34484,297.3223572,239.4819794,3.511071,16,1153.148025741987,1715.1621351992599,0.0,2025.0
Mbo,Akwa Ibom,25,8.26327,71203.34484,297.3223572,239.4819794,3.511071,16,1153.148025741987,1715.1621351992599,0.0,2024.0
Mbo,Akwa Ibom,25,8.26327,71203.34484,297.3223572,239.4819794,3.511071,16,1153.148025741987,1715.1621351992599,0.0,2023.0
Mbo,Akwa Ibom,25,8.26327,71203.34484,297.3223572,239.4819794,3.511071,16,1153.148025741987,1715.1621351992599,0.0,2022.0
Mbo,Akwa Ibom,25,8.26327,71203.34484,297.3223572,239.4819794,3.511071,16,1153.148025741987,1715.1621351992599,0.0,2021.0
Lau,Taraba,64,11.1807251,146955.1202,1527.405884,96.2122269,4.3550711,15,4494.029638367423,400.8899480858378,0.0,2025.0
Lau,Taraba,64,11.1807251,146955.1202,1527.405884,96.2122269,4.3550711,15,4494.029638367423,400.8899480858378,0.0,2024.0
Lau,Taraba,64,11.1807251,146955.1202,1527.405884,96.2122269,4.3550711,15,4494.029638367423,400.8899480858378,0.0,2023.0
Lau,Taraba,64,11.1807251,146955.1202,1527.405884,96.2122269,4.3550711,15,4494.029638367423,400.8899480858378,0.0,2022.0
