lganame,statename,num_health_facilities,longitude,population,lgaarea,popdensity,Facilities_per_10k_people,water_per_lga,NEAR_DIST_Health,NEAR_DIST_Water
Abakaliki,Ebonyi,139,8.097210000000000,271381.972200000018347,439.6339722,617.2907104,5.121932,2,1208.906394102452850,6818.581771605953691
Pategi,Kwara,53,5.609058333330000,192870.743099999992410,3075.616943,62.70961,2.7479544,57,5365.730213982766145,618.893325692399003
Biriniwa,Jigawa,33,10.164027000000001,196058.791300000011688,1582.712524,123.8751755,1.6831686,8,2911.725545624878123,26127.610444346872100
Ussa,Taraba,90,10.072326660000000,146980.430300000007264,946.1331787,155.3485565,6.1232643,0,1707.202698424057189,7029.936242608040629
Silame,Sokoto,43,4.743983720000000,107356.365600000004633,738.1599731,145.4378052,4.0053515,12,2399.531962630511771,4317.388206392392931
Takai,Kano,40,9.142606000000001,458116.948199999984354,666.2698975,687.5846558,0.8731395,1,577.067395051621133,7243.827623886725632
Bwari,Fct,125,7.360360000000000,678617.206499999971129,1030.905396,658.2730103,1.8419811,4,968.911491224730639,8358.110763786602547
Edu,Kwara,78,5.467190000000000,335094.133499999996275,2423.655029,138.2598267,2.3277042,30,1252.059937376847756,3908.667461482455110
Jema'A,Kaduna,81,8.492865999699999,469843.267099999997299,1383.539185,339.5952148,1.7239791,24,5137.114841772095133,3184.322602654868206
Gumel,Jigawa,22,9.393682200000001,127996.682300000000396,237.8535309,538.1323853,1.7187946,2,397.139446654140272,46660.351727388981089
Binji,Sokoto,32,4.556776000320000,93065.412859999996726,1081.662231,86.0392532,3.4384418,1,7170.336846791858989,14586.800405607566063
Kware,Sokoto,48,5.201710000000000,242639.349199999996927,642.9786987,377.3676453,1.9782447,1,1177.805534302038495,3061.122256447009022
Bunza,Kebbi,46,4.030620000000000,135675.949900000006892,1034.361328,131.168808,3.3904314,1,1755.652431333342292,2348.641641422527300
Mopa-Muro,Kogi,36,5.895342000000000,67741.434179999996559,773.3551025,87.5942154,5.3143249,0,2664.059237359952476,11201.643934522327982
Sokoto North,Sokoto,21,5.238812999730000,173741.549599999998463,19.2777081,9012.5625,1.2086918,0,363.831916420016682,928.524959504692106
Musawa,Katsina,80,7.658387900000000,273309.034199999994598,673.7161255,405.6738892,2.9270895,0,1644.322140158090633,8584.793973098934657
Ethiope West,Delta,42,5.719909668000000,405474.453800000017509,544.3973389,744.8134155,1.0358236,6,901.848346958413913,4194.596775335638995
Ishielu,Ebonyi,87,7.770893333000000,188629.629599999985658,725.2639771,260.0841064,4.6122127,2,1039.006538886062117,2104.224749381847232
Sakaba,Kebbi,65,5.718964300000000,139720.034500000008848,1391.832031,100.385704,4.6521602,1,5007.488408416684251,8274.300578208263687
Kudan,Kaduna,47,7.767843400000000,246620.956700000009732,345.3782654,714.0604248,1.9057586,8,1208.894395022441358,5822.063948184279070
Kachia,Kaduna,91,7.991898333000000,387292.588999999978114,4569.832031,84.749855,2.3496447,0,1714.798907371406358,10542.926431321220662
Sabon Birni,Sokoto,52,6.300409887300000,287384.956599999975879,2297.265381,125.0987167,1.8094198,216,2934.958440295587934,5414.749195697412688
Uzo-Uwani,Enugu,60,7.008180000000000,149800.893299999996088,1028.456177,145.6560822,4.0053167,1,7438.077223482190675,9430.513157193041479
Jaba,Kaduna,53,8.030580000000000,197915.130299999989802,530.6297607,372.9815979,2.6779156,0,478.657946822500207,1050.995422529305642
Ibesikpo Asutan,Akwa Ibom,39,7.939516667000000,230920.904199999989942,175.4780884,1315.952881,1.68889,0,453.208512235861690,5973.195849089762305
Sokoto South,Sokoto,41,5.249929000280000,205148.761700000002747,32.0921402,6392.492188,1.9985497,1,345.923964825353153,1253.935769416634685
Yabo,Sokoto,23,5.013916000000000,114284.396900000007008,831.4747314,137.4478302,2.0125232,7,6387.371297509211217,4710.009136450301412
Damboa,Borno,29,12.808550000000000,176532.556799999991199,4799.465332,36.7817116,1.6427565,9,13932.081648974997734,3508.482247005693353
Matazu,Katsina,58,7.689390000000000,173149.601300000009360,542.4763794,319.1836548,3.3497045,2,2239.700452403549207,21059.289525682070234
Sandamu,Katsina,48,8.341543333000001,246059.102000000013504,338.2783508,727.3864746,1.9507508,1,243.408750123930304,8935.779983384343723
Mashi,Katsina,64,7.978958333000000,361038.402000000001863,1012.066895,356.7337341,1.7726647,8,1957.967059081224306,12992.795193057001597
