lganame,statename,Actual_Status,Predicted_Risk,Risk_Prob,Tier
Gombi,Adamawa,0,1,0.4291406497144054,Tier 2: High (Priority Monitoring)
Wasagu-Danko,Kebbi,0,1,0.4290756143482487,Tier 2: High (Priority Monitoring)
Bursari,Yobe,0,1,0.4287880035389275,Tier 2: High (Priority Monitoring)
Kukawa,Borno,0,1,0.4286026534024369,Tier 2: High (Priority Monitoring)
Kukawa,Borno,0,1,0.4286026534024369,Tier 2: High (Priority Monitoring)
Kukawa,Borno,0,1,0.4286026534024369,Tier 2: High (Priority Monitoring)
Kukawa,Borno,0,1,0.4286026534024369,Tier 2: High (Priority Monitoring)
Dange Shuni,Sokoto,0,1,0.42664001572751487,Tier 2: High (Priority Monitoring)
Shomgom,Gombe,0,1,0.42448773049021077,Tier 2: High (Priority Monitoring)
Shomgom,Gombe,0,1,0.42448773049021077,Tier 2: High (Priority Monitoring)
Ungogo,Kano,0,1,0.4235098646332353,Tier 2: High (Priority Monitoring)
Shani,Borno,0,1,0.42283548097821144,Tier 2: High (Priority Monitoring)
Sabuwa,Katsina,0,1,0.4227703169346708,Tier 2: High (Priority Monitoring)
Aniocha South,Delta,0,1,0.42095251979314274,Tier 2: High (Priority Monitoring)
Aniocha South,Delta,0,1,0.42095251979314274,Tier 2: High (Priority Monitoring)
Oyo East,Oyo,0,1,0.41829951298677065,Tier 2: High (Priority Monitoring)
Oyo East,Oyo,0,1,0.41829951298677065,Tier 2: High (Priority Monitoring)
Oyo East,Oyo,0,1,0.41829951298677065,Tier 2: High (Priority Monitoring)
Suleja,Niger,0,1,0.4164524415183616,Tier 2: High (Priority Monitoring)
Suleja,Niger,0,1,0.4164524415183616,Tier 2: High (Priority Monitoring)
Mangu,Plateau,0,1,0.4160849013444336,Tier 2: High (Priority Monitoring)
Mariga,Niger,0,1,0.41423619756279456,Tier 2: High (Priority Monitoring)
Nasarawa Egon,Nasarawa,0,1,0.411668016036775,Tier 2: High (Priority Monitoring)
Warri South,Delta,0,1,0.4109099732664754,Tier 2: High (Priority Monitoring)
Soba,Kaduna,0,1,0.4107900985840348,Tier 2: High (Priority Monitoring)
Lagos Island,Lagos,0,1,0.40886119980462865,Tier 2: High (Priority Monitoring)
Shagari,Sokoto,0,1,0.4086839401304843,Tier 2: High (Priority Monitoring)
Ingawa,Katsina,0,1,0.40867438850752114,Tier 2: High (Priority Monitoring)
Bonny,Rivers,0,1,0.4080390478229969,Tier 2: High (Priority Monitoring)
Shelleng,Adamawa,0,1,0.4052958631294632,Tier 2: High (Priority Monitoring)
Shelleng,Adamawa,0,1,0.4052958631294632,Tier 2: High (Priority Monitoring)
Pankshin,Plateau,0,1,0.3998533356769313,Tier 2: High (Priority Monitoring)
Irepodun,Kwara,0,1,0.39727940602723244,Tier 2: High (Priority Monitoring)
Irepodun,Kwara,0,1,0.39727940602723244,Tier 2: High (Priority Monitoring)
Ndokwa West,Delta,0,1,0.3954147141031132,Tier 2: High (Priority Monitoring)
Ndokwa West,Delta,0,1,0.3954147141031132,Tier 2: High (Priority Monitoring)
Bichi,Kano,0,1,0.39312248151386703,Tier 2: High (Priority Monitoring)
Bichi,Kano,0,1,0.39312248151386703,Tier 2: High (Priority Monitoring)
Oru East,Imo,0,1,0.39162079544055944,Tier 2: High (Priority Monitoring)
Barkin Ladi,Plateau,0,1,0.3905954319618567,Tier 2: High (Priority Monitoring)
Eastern Obolo,Akwa Ibom,0,1,0.39049239615955045,Tier 2: High (Priority Monitoring)
Kaura Namoda,Zamfara,0,1,0.3900990979638165,Tier 2: High (Priority Monitoring)
Kirfi,Bauchi,0,1,0.38960744743756487,Tier 2: High (Priority Monitoring)
Tangaza,Sokoto,0,1,0.38947530995188395,Tier 2: High (Priority Monitoring)
Tangaza,Sokoto,0,1,0.38947530995188395,Tier 2: High (Priority Monitoring)
Rafi,Niger,0,1,0.3880186184167523,Tier 2: High (Priority Monitoring)
Kusada,Katsina,0,1,0.38712931354168917,Tier 2: High (Priority Monitoring)
Ibadan North East,Oyo,0,1,0.38711650871403014,Tier 2: High (Priority Monitoring)
Damboa,Borno,0,1,0.3855698894364162,Tier 2: High (Priority Monitoring)
Gashaka,Taraba,0,1,0.3834726481004724,Tier 2: High (Priority Monitoring)
Obio/Akpor,Rivers,0,1,0.3833994156701708,Tier 2: High (Priority Monitoring)
Rijau,Niger,0,1,0.3830076772242895,Tier 2: High (Priority Monitoring)
Obot Akara,Akwa Ibom,0,1,0.38231144511360937,Tier 2: High (Priority Monitoring)
Kunchi,Kano,0,1,0.38170660552343444,Tier 2: High (Priority Monitoring)
Madagali,Adamawa,0,1,0.37843117100262136,Tier 2: High (Priority Monitoring)
Mubi South,Adamawa,0,1,0.3774793340131916,Tier 2: High (Priority Monitoring)
Mubi South,Adamawa,0,1,0.3774793340131916,Tier 2: High (Priority Monitoring)
Kiri Kasama,Jigawa,0,1,0.3772769535303449,Tier 2: High (Priority Monitoring)
Kiri Kasama,Jigawa,0,1,0.3772769535303449,Tier 2: High (Priority Monitoring)
Yagba West,Kogi,0,1,0.3767934300825687,Tier 2: High (Priority Monitoring)
Yagba West,Kogi,0,1,0.3767934300825687,Tier 2: High (Priority Monitoring)
Yagba West,Kogi,0,1,0.3767934300825687,Tier 2: High (Priority Monitoring)
Ikwo,Ebonyi,0,1,0.3745775419580688,Tier 2: High (Priority Monitoring)
Argungu,Kebbi,0,1,0.3719152856516525,Tier 2: High (Priority Monitoring)
Argungu,Kebbi,0,1,0.3719152856516525,Tier 2: High (Priority Monitoring)
Ishielu,Ebonyi,0,1,0.37014955239988245,Tier 2: High (Priority Monitoring)
Bwari,Fct,0,1,0.36797648838550884,Tier 2: High (Priority Monitoring)
Gboko,Benue,0,1,0.36777129697157884,Tier 2: High (Priority Monitoring)
Ifedore,Ondo,0,1,0.3677522110126858,Tier 2: High (Priority Monitoring)
Ifedore,Ondo,0,1,0.3677522110126858,Tier 2: High (Priority Monitoring)
Shagamu,Ogun,0,1,0.3674132142808702,Tier 2: High (Priority Monitoring)
Shagamu,Ogun,0,1,0.3674132142808702,Tier 2: High (Priority Monitoring)
Buji,Jigawa,0,1,0.3674023169874735,Tier 2: High (Priority Monitoring)
Enugu North,Enugu,0,1,0.36712897101221953,Tier 2: High (Priority Monitoring)
Enugu North,Enugu,0,1,0.36712897101221953,Tier 2: High (Priority Monitoring)
Ajeromi/Ifelodun,Lagos,0,1,0.36396471007820963,Tier 2: High (Priority Monitoring)
Zaki,Bauchi,0,1,0.3614053806231695,Tier 2: High (Priority Monitoring)
Oyi,Anambra,0,1,0.36139883518951466,Tier 2: High (Priority Monitoring)
Kwaya Kusar,Borno,0,1,0.3607786290341264,Tier 2: High (Priority Monitoring)
Kwaya Kusar,Borno,0,1,0.3607786290341264,Tier 2: High (Priority Monitoring)
Sardauna,Taraba,0,1,0.36034814858700964,Tier 2: High (Priority Monitoring)
Kudan,Kaduna,0,1,0.35855801780734653,Tier 2: High (Priority Monitoring)
Kudan,Kaduna,0,1,0.35855801780734653,Tier 2: High (Priority Monitoring)
Moro,Kwara,0,1,0.357035272628387,Tier 2: High (Priority Monitoring)
Adavi,Kogi,0,1,0.3555610207411536,Tier 2: High (Priority Monitoring)
Adavi,Kogi,0,1,0.3555610207411536,Tier 2: High (Priority Monitoring)
Isiala Mbano,Imo,0,1,0.35508483700008964,Tier 2: High (Priority Monitoring)
Sumaila,Kano,0,1,0.35488215452103566,Tier 2: High (Priority Monitoring)
Shanono,Kano,0,1,0.35082784724345245,Tier 2: High (Priority Monitoring)
Izzi,Ebonyi,0,1,0.34822070513519937,Tier 3: Moderate (Surveillance)
Taura,Jigawa,0,1,0.347460846788462,Tier 3: Moderate (Surveillance)
Okehi,Kogi,0,1,0.3473353258913957,Tier 3: Moderate (Surveillance)
Ibadan North,Oyo,0,1,0.3455649693083495,Tier 3: Moderate (Surveillance)
Kabo,Kano,0,1,0.345538156727245,Tier 3: Moderate (Surveillance)
Kabo,Kano,0,1,0.345538156727245,Tier 3: Moderate (Surveillance)
Balanga,Gombe,0,1,0.3445584067018017,Tier 3: Moderate (Surveillance)
Balanga,Gombe,0,1,0.3445584067018017,Tier 3: Moderate (Surveillance)
Kauru,Kaduna,0,1,0.34423868407964675,Tier 3: Moderate (Surveillance)
Wamakko,Sokoto,0,1,0.34351666160397065,Tier 3: Moderate (Surveillance)
Irepodun,Osun,0,1,0.34163252454643633,Tier 3: Moderate (Surveillance)
Okpe,Delta,0,1,0.3410657630824043,Tier 3: Moderate (Surveillance)
Okpe,Delta,0,1,0.3410657630824043,Tier 3: Moderate (Surveillance)
Ganye,Adamawa,0,1,0.3379495219443839,Tier 3: Moderate (Surveillance)
Ganye,Adamawa,0,1,0.3379495219443839,Tier 3: Moderate (Surveillance)
Bunkure,Kano,0,1,0.33588208675706954,Tier 3: Moderate (Surveillance)
Ekiti,Kwara,0,1,0.33374879974731436,Tier 3: Moderate (Surveillance)
Oguta,Imo,0,1,0.33328002492108005,Tier 3: Moderate (Surveillance)
Oguta,Imo,0,1,0.33328002492108005,Tier 3: Moderate (Surveillance)
Tarka,Benue,0,1,0.33169348454749115,Tier 3: Moderate (Surveillance)
Takai,Kano,0,1,0.33062493277703164,Tier 3: Moderate (Surveillance)
Takai,Kano,0,1,0.33062493277703164,Tier 3: Moderate (Surveillance)
Takai,Kano,0,1,0.33062493277703164,Tier 3: Moderate (Surveillance)
Jega,Kebbi,0,1,0.33042297773201795,Tier 3: Moderate (Surveillance)
Ijebu North,Ogun,0,1,0.33006242378914896,Tier 3: Moderate (Surveillance)
